Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP15-1-Power_Factor_3,K0288,Float,1,R/W,100,,,,,,,,,,,
F2MP15-1-Power_Factor_Total,K0289,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-KWh,K0290,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Energy,K0291,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Voltage_1,K0292,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Voltage_2,K0293,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Voltage_3,K0294,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Voltage_N,K0295,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Current_1,K0296,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Current_2,K0297,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Current_3,K0298,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Current_AVG,K0299,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_1,K0300,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_2,K0301,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_3,K0302,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_Factor_1,K0303,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_Factor_2,K0304,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_Factor_3,K0305,Float,1,R/W,100,,,,,,,,,,,
F2MP15-5-Power_Factor_Total,K0306,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-KWh,K0307,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Energy,K0308,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Voltage_1,K0309,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Voltage_2,K0310,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Voltage_3,K0311,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Voltage_N,K0312,Float,1,R/W,100,,,,,,,,,,,
